product_name,product_url,skuid,brand,category,price,price_tier,mo_sales,mo_revenue,market_share,model,oem_part_number,item_weight,weight_tier,product_dimensions,product_size_tier,amperage,amperage_tier,voltage,country_of_origin,vehicle_service_type,Type
chargepoint home flex electric vehicle (ev) charger 16 to 50 amp 240v level 2 wifi enabled evse ul listed energy star nema 14-50 plug or hardwired indoor / outdoor 23-foot cable,https://www.amazon.com/ChargePoint-Home-Electric-Vehicle-Charger/dp/B07WXZDHGV/ref=sr_1_1?dchild=1&qid=1633496171&s=automotive&sr=1-1,B07WXZDHGV,chargepoint,EV chargers,1023,>400$,1223,1251129,15.916179360790217,Home Flex,NA,17.6,10.1-20pound,NA,NA,50 amp,21-50AMP,240,NA,NA,manual
pulsar plus level 2 electric vehicle smart charger - 40 amp nema ultra compact wifi bluetooth alexa and google home - 25 foot cable - ul certified - indoor/outdoor - by wallbox,https://www.amazon.com/Pulsar-Level-Electric-Vehicle-Charger/dp/B08H2LYFHX/ref=sr_1_7?dchild=1&qid=1633496171&s=automotive&sr=1-7,B08H2LYFHX,W Wallbox,EV chargers,599,>400$,626,374974,4.7702142941558785,NA,NA,18.61,10.1-20pound,4 x 7.8 x 7.9 inches,2011-500sq.inch,40 Amps,21-50AMP,240 Volts,NA,NA,manual
juicebox 32 electric vehicle (ev) charging station with wifi - 32 amp level 2 evse 25-foot cable ul and energy star certified indoor/outdoor use (nema 14-50 plug gray),https://www.amazon.com/JuiceBox-32-Next-Generation-Electric-Charging/dp/B07ZL4MK8T/ref=sr_1_11?dchild=1&qid=1633496171&s=automotive&sr=1-11,B07ZL4MK8T,JuiceBox,EV chargers,619,>400$,1218,753942,9.591238073478351,NA,NA,20.7,20.1-40pound,NA,NA,32 amp,21-50AMP,NA,NA,NA,manual
lectron 240v 32 amp level 2 ev charger with 21ft long j1772 cable & nema 14-50 plug,https://www.amazon.com/LECTRON-Electric-Vehicle-Charger-Extension/dp/B07HKLCXPJ/ref=sr_1_12?dchild=1&qid=1633496171&s=automotive&sr=1-12,B07HKLCXPJ,Lectron,EV chargers,299.99,201-400$,322,96597,1.228854241020912,NA,NA,10.94,10.1-20pound,NA,NA,32 amp,21-50AMP,240,NA,NA,manual
bougerv level 2 ev charger cable (240v 16a 25ft) portable evse electric vehicle charging station (nema6-20 with adapter for nema5-15) compatible with level 1,https://www.amazon.com/BougeRV-Portable-Electric-Charging-Compatible/dp/B08KNWPRWJ/ref=sr_1_13?dchild=1&qid=1633496171&s=automotive&sr=1-13,B08KNWPRWJ,BougeRV,EV chargers,199.99,101-200$,167,33398,0.42487110305305975,NA,NA,8.14,5.1-10pound,NA,NA,16,0-20AMP,240,NA,NA,manual
mustart level 2 portable ev charger (240 volt 25ft cable 40 amp) electric vehicle charger plug-in ev charging station with nema 14-50p (update version),https://www.amazon.com/MUSTART-Portable-Charger-Electric-Charging/dp/B07THBGGMG/ref=sr_1_14?dchild=1&qid=1633496171&s=automotive&sr=1-14,B07THBGGMG,MUSTART,EV chargers,358,201-400$,305,109190,1.3890555045919994,NA,NA,13.66,10.1-20pound,NA,NA,40 amp,21-50AMP,NA,NA,NA,manual
lectron 110v 16 amp level 1 ev charger with 21ft extension cord j1772 cable & nema 5-15 plug,https://www.amazon.com/Lectron-Level-Charger-Extension-UL-Certified/dp/B08HHBDQ88/ref=sr_1_15?dchild=1&qid=1633496171&s=automotive&sr=1-15,B08HHBDQ88,Lectron,EV chargers,199.99,101-200$,288,57597,0.7327175556185126,NA,NA,6.58,5.1-10pound,9.45 x 3.5 x 2.4 inches,51-100sq.inch,16 Amps,0-20AMP,110 Volts,China,Car,manual
grizzl-e level 2 ev charger 16/24/32/40 amp indoor/outdoor car charging station (nema 14-50 plug 24 feet premium cable),https://www.amazon.com/Grizzl-Level-EV-Charger-GR1-14-24-Premium/dp/B082LMVSLY/ref=sr_1_17?dchild=1&qid=1633496171&s=automotive&sr=1-17,B082LMVSLY,Grizzl-E,EV chargers,459,>400$,508,233172,2.966286748939699,NA,NA,19.84,10.1-20pound,NA,NA,40 amps,21-50AMP,NA,NA,NA,manual
lectron 240v 16a level 2 ev charger with 21ft extension cord j1772 cable & nema 6-20 plug,https://www.amazon.com/LECTRON-Level-Charger-Extension-J1772/dp/B079NTXNK7/ref=sr_1_19?dchild=1&qid=1633496171&s=automotive&sr=1-19,B079NTXNK7,Lectron,EV chargers,199.99,101-200$,229,45798,0.582617126104079,NA,NA,6.71,5.1-10pound,NA,NA,NA,NA,240,NA,NA,manual
book engine level 1+2 ev charger(120-240v16a25ft) portable evse home electric vehicle charging station universal,https://www.amazon.com/120-240V-Portable-Electric-Charging-Universal/dp/B07Y7HPKB6/ref=sr_1_20?dchild=1&qid=1633496171&s=automotive&sr=1-20,B07Y7HPKB6,Generic,EV chargers,199.99,101-200$,180,35998,0.45794688207988643,NA,NA,8.31,5.1-10pound,NA,NA,NA,NA,240,NA,NA,manual
bougerv level 2 ev charger (240v 32a 25ft) portable ev charging cable evse electric vehicle charger with nema 14-50p,https://www.amazon.com/BougeRV-Charger-Portable-Charging-Electric/dp/B07P9C963L/ref=sr_1_22?dchild=1&qid=1633496171&s=automotive&sr=1-22,B07P9C963L,BougeRV,EV chargers,299.99,201-400$,143,42899,0.5457376324891673,NA,NA,11.4,10.1-20pound,NA,NA,NA,NA,240,NA,NA,manual
